2026-04-29 18:26:20.926 IST [40022] LOG:  checkpoint complete: time: wrote 33 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 3 recycled; write=3.365 s, sync=0.004 s, total=3.382 s; sync files=34, longest=0.001 s, average=0.001 s; distance=48760 kB, estimate=123240 kB; lsn=0/0D9FF580, redo lsn=0/0D9FF520
2026-04-29 18:31:17.916 IST [40022] LOG:  checkpoint starting: time
2026-04-29 18:31:18.127 IST [40022] LOG:  checkpoint complete: time: wrote 2 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.203 s, sync=0.001 s, total=0.212 s; sync files=1, longest=0.001 s, average=0.001 s; distance=7 kB, estimate=110917 kB; lsn=0/0DA014B8, redo lsn=0/0DA01458
2026-04-29 18:36:17.116 IST [40022] LOG:  checkpoint starting: time
2026-04-29 18:36:22.014 IST [40022] LOG:  checkpoint complete: time: wrote 48 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 3 recycled; write=4.885 s, sync=0.003 s, total=4.900 s; sync files=35, longest=0.001 s, average=0.001 s; distance=48877 kB, estimate=104713 kB; lsn=0/109BCB20, redo lsn=0/109BCAC0
2026-04-29 19:06:17.327 IST [40022] LOG:  checkpoint starting: time
2026-04-29 19:06:24.641 IST [40022] LOG:  checkpoint complete: time: wrote 72 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 9 recycled; write=7.295 s, sync=0.004 s, total=7.314 s; sync files=48, longest=0.001 s, average=0.001 s; distance=139591 kB, estimate=139591 kB; lsn=0/1920E9C8, redo lsn=0/1920E968
2026-04-29 19:11:17.633 IST [40022] LOG:  checkpoint starting: time
2026-04-29 19:11:21.213 IST [40022] LOG:  checkpoint complete: time: wrote 35 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=3.568 s, sync=0.003 s, total=3.583 s; sync files=32, longest=0.001 s, average=0.001 s; distance=45462 kB, estimate=130178 kB; lsn=0/1BE743B8, redo lsn=0/1BE74320
2026-04-29 19:16:17.866 IST [40022] LOG:  checkpoint starting: time
2026-04-29 19:16:23.071 IST [40022] LOG:  checkpoint complete: time: wrote 51 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 9 recycled; write=5.186 s, sync=0.003 s, total=5.205 s; sync files=43, longest=0.001 s, average=0.001 s; distance=137477 kB, estimate=137477 kB; lsn=0/244B59D0, redo lsn=0/244B5970
2026-04-29 19:21:17.063 IST [40022] LOG:  checkpoint starting: time
